//map_name	range	scope	range_IN	rotationFrom	rotationTo	rotation_IN	altitudeFrom	altitudeTo	altitude_IN
//ex_fild00.rsw#	200#	600#	450#	-360#	360#	 0#	-15#	-65#	-60#
// -- ! double right-click won't return to default view ! --
//maplist.js from ratemyserver.net 
abbey03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
abyss_01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
abyss_02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
abyss_03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
airplane.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
airplane_01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
airport.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
alb2trea.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
alb_ship.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
alberta.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
alberta_in.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
alde_alche.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
alde_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
alde_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
alde_dun03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
alde_dun04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
alde_gld.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
alde_tt02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
aldeba_in.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
aldebaran.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
aldeg_cas01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
aldeg_cas02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
aldeg_cas03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
aldeg_cas04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
aldeg_cas05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ama_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ama_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ama_dun03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ama_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ama_in01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ama_in02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ama_test.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
amatsu.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
anthell01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
anthell02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
arena_room.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
aru_gld.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
arug_cas01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
arug_cas02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
arug_cas03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
arug_cas04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
arug_cas05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
arug_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
arug_que01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
auction_01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
auction_02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ayo_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ayo_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ayo_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ayo_fild02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ayo_in01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ayo_in02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ayothaya.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
bat_a01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
bat_a02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
bat_b01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
bat_b02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
bat_c01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
bat_c02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
bat_c03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
bat_room.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
beach_dun.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
beach_dun2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
beach_dun3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
bif_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
bif_fild02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
bossnia_01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
bossnia_02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
bossnia_03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
bossnia_04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
bra_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
bra_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
bra_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
bra_in01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
brasilis.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
c_tower1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
c_tower2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
c_tower2_.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
c_tower3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
c_tower3_.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
c_tower4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
cave.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
cmd_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
cmd_fild02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
cmd_fild03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
cmd_fild04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
cmd_fild05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
cmd_fild06.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
cmd_fild07.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
cmd_fild08.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
cmd_fild09.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
cmd_in01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
cmd_in02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
comodo.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
dali.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
dali02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
dew_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
dew_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
dew_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
dew_in01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
dewata.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
dic_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
dic_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
dic_dun03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
dic_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
dic_fild02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
dic_in01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
dicastes01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
dicastes02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
e_tower.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ecl_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ecl_hub01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ecl_in01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ecl_in02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ecl_in03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ecl_in04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ecl_tdun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ecl_tdun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ecl_tdun03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ecl_tdun04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
eclage.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ein_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ein_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ein_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ein_fild02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ein_fild03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ein_fild04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ein_fild05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ein_fild06.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ein_fild07.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ein_fild08.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ein_fild09.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ein_fild10.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ein_in01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
einbech.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
einbroch.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
evt_bomb.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
evt_hello.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
evt_mobroom.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
evt_zombie.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ev_moc_16.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
force_1-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
force_1-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
force_1-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
force_2-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
force_2-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
force_2-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
force_3-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
force_3-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
force_3-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
force_4-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
force_5-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
g_room1-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
g_room1-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
g_room1-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
g_room2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gef_dun00.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gef_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gef_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gef_dun03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gef_fild00.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gef_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gef_fild02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gef_fild03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gef_fild04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gef_fild05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gef_fild06.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gef_fild07.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gef_fild08.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gef_fild09.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gef_fild10.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gef_fild11.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gef_fild12.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gef_fild13.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gef_fild14.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gef_tower.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gefenia01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gefenia02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gefenia03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gefenia04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
geffen.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
geffen_in.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gefg_cas01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gefg_cas02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gefg_cas03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gefg_cas04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gefg_cas05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gl_cas01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gl_cas02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gl_cas02_.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gl_church.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gl_chyard.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gl_chyard_.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gl_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gl_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gl_in01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gl_knt01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gl_knt02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gl_prison.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gl_prison1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gl_sew01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gl_sew02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gl_sew03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gl_sew04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gl_step.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
glast_01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gld2_ald.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gld2_gef.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gld2_pay.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gld2_prt.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gld_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gld_dun01_2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gld_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gld_dun02_2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gld_dun03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gld_dun03_2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gld_dun04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gld_dun04_2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gon_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gon_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gon_dun03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gon_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gon_in.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gon_test.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
gonryun.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
guild_room.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
guild_vs01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
guild_vs02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
guild_vs03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
guild_vs04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
guild_vs1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
guild_vs1-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
guild_vs1-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
guild_vs1-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
guild_vs1-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
guild_vs2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
guild_vs2-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
guild_vs2-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
guild_vs3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
guild_vs4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
guild_vs5.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
himinn.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
hu_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
hu_fild02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
hu_fild03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
hu_fild04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
hu_fild05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
hu_fild06.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
